edas#Paper	edas#Paper -> edas#Document	edas#PublishedPaper, edas#ActivePaper, edas#WithdrawnPaper, edas#PendingPaper, edas#RejectedPaper, edas#AcceptedPaper	 	 	ekaw#Submitted_Paper	ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	ekaw#Assigned_Paper	 	 	1.377
conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	conference#has_tutorials -> conference#Tutorial, conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution, conference#has_workshops -> conference#Workshop	conference#has_a_location -> conference#string	iasted#Conference_hall	iasted#Conference_hall -> iasted#Place	 	iasted#speak_in -> iasted#Tutorial_speaker, iasted#is_situated_in -> iasted#Conference_building	 	1.376
conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part	conference#has_a_location -> conference#string	iasted#Conference_state	iasted#Conference_state -> iasted#State	 	iasted#is_situated_in -> iasted#Conference_building, iasted#is_held_in -> iasted#Conference_activity, iasted#is_situated_in -> iasted#Conference_hotel	 	1.376
cmt#Chairman	cmt#Chairman -> cmt#Person	 	cmt#markConflictOfInterest -> cmt#Paper	 	conference#Chair	conference#Chair -> conference#Committee_member -> conference#Person	 	conference#has_a_committee_chair -> conference#Committee, conference#was_a_committee_chair_of -> conference#Committee	 	1.376
edas#ConferenceChair	edas#ConferenceChair -> edas#Person	 	edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper, edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call	 	ekaw#Conference_Participant	ekaw#Conference_Participant -> ekaw#Person	 	ekaw#writtenBy -> ekaw#Camera_Ready_Paper	 	1.375
cmt#Reviewer	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	cmt#Meta-Reviewer	cmt#writtenBy -> cmt#Review, cmt#writeReview -> cmt#Review, cmt#adjustedBy -> cmt#Bid	 	conference#Reviewed_contribution	conference#Reviewed_contribution -> conference#Submitted_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	conference#Accepted_contribution, conference#Rejected_contribution	conference#has_a_review -> conference#Review, conference#reviews -> conference#Review	 	1.371
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperFullVersion, cmt#PaperAbstract	cmt#markConflictOfInterest -> cmt#Chairman, cmt#acceptedBy -> cmt#Administrator, cmt#rejectPaper -> cmt#Administrator, cmt#rejectedBy -> cmt#Administrator, cmt#acceptPaper -> cmt#Administrator, cmt#readByReviewer -> cmt#Reviewer	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	iasted#Submission	iasted#Submission -> iasted#Document -> iasted#Item	iasted#Final_manuscript, iasted#Initial_manuscipt	iasted#is_writen_by -> iasted#Speaker	 	1.371
edas#ActivePaper	edas#ActivePaper -> edas#Paper -> edas#Document	 	edas#hasRating -> edas#ReviewRating	 	sigkdd#Paper	sigkdd#Paper -> sigkdd#Document	 	sigkdd#submit -> sigkdd#Author	 	1.37
conference#Conference_proceedings	 	 	conference#issues -> conference#Publisher, conference#has_a_publisher -> conference#Publisher	conference#has_a_volume -> conference#int, conference#has_an_ISBN -> conference#string, conference#has_a_name -> conference#string	edas#Conference	 	 	edas#hasRelatedDocument -> edas#Document, edas#relatesTo -> edas#Document, edas#isMemberOf -> edas#Person, edas#hasMember -> edas#Person	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.369
cmt#Conference	 	 	cmt#paperAssignmentToolsRunBy -> cmt#Administrator, cmt#enterReviewCriteria -> cmt#Administrator, cmt#runPaperAssignmentTools -> cmt#Administrator	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	conference#Conference_document	 	 	conference#has_authors -> conference#Person, conference#contributes -> conference#Person	conference#has_a_date_of_issue -> conference#date	1.367
cmt#Administrator	cmt#Administrator -> cmt#User -> cmt#Person	 	cmt#acceptedBy -> cmt#Paper, cmt#rejectPaper -> cmt#Paper, cmt#rejectedBy -> cmt#Paper, cmt#acceptPaper -> cmt#Paper, cmt#assignReviewer -> cmt#Reviewer, cmt#assignedByAdministrator -> cmt#Reviewer	 	sigkdd#Author	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#submit -> sigkdd#Paper, sigkdd#obtain -> sigkdd#Award	 	1.367
iasted#Student_registration_fee	iasted#Student_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	 	 	 	sigkdd#Registration_fee	sigkdd#Registration_fee -> sigkdd#Fee	 	 	sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.363
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	cmt#Reviewer, cmt#Author, cmt#ConferenceChair	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	 	conference#Conference_contribution	conference#Conference_contribution -> conference#Conference_document	conference#Written_contribution, conference#Poster, conference#Presentation	conference#is_submitted_at -> conference#Conference_volume, conference#has_contributions -> conference#Conference_volume	 	1.362
edas#Paper	edas#Paper -> edas#Document	 	edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#Reviewer, edas#isWrittenBy -> edas#Author, edas#hasRelatedPaper -> edas#Author, edas#isTopicOf -> edas#Topic, edas#hasTopic -> edas#Topic	 	iasted#Review	iasted#Review -> iasted#Document -> iasted#Item	 	iasted#is_writen_by -> iasted#Reviewer	 	1.361
cmt#Paper	cmt#Paper -> cmt#Document	 	cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#readPaper -> cmt#Reviewer, cmt#assignedTo -> cmt#Reviewer, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	iasted#Review	iasted#Review -> iasted#Document -> iasted#Item	 	iasted#is_writen_by -> iasted#Reviewer	 	1.361
edas#ActivePaper	edas#ActivePaper -> edas#Paper -> edas#Document	edas#RatedPapers	 	 	ekaw#Submitted_Paper	ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	ekaw#Assigned_Paper	 	 	1.36
cmt#Chairman	cmt#Chairman -> cmt#Person	 	cmt#markConflictOfInterest -> cmt#Paper	 	iasted#Speaker	iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Submission, iasted#give -> iasted#Lecture, iasted#write -> iasted#Final_manuscript, iasted#is_prepared_by -> iasted#Transparency, iasted#is_used_by -> iasted#Audiovisual_equipment	 	1.359
cmt#Paper	cmt#Paper -> cmt#Document	 	 	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	ekaw#Poster_Paper	ekaw#Poster_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	1.359
ekaw#Poster_Paper	ekaw#Poster_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	sigkdd#Paper	sigkdd#Paper -> sigkdd#Document	 	 	 	1.359
edas#Paper	edas#Paper -> edas#Document	 	 	 	ekaw#Poster_Paper	ekaw#Poster_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	1.359
ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	iasted#Conference_activity	iasted#Conference_activity -> iasted#Activity	 	iasted#is_held_in -> iasted#Conference_state, iasted#is_held_in -> iasted#Conference_days, iasted#is_paid_for -> iasted#Registration_fee	 	1.358
cmt#Reviewer	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	cmt#Meta-Reviewer	cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper	 	sigkdd#Speaker	sigkdd#Speaker -> sigkdd#Person	sigkdd#Author, sigkdd#Invited_Speaker	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	 	1.354
confOf#Working_event	confOf#Working_event -> confOf#Event	confOf#Workshop, confOf#Conference, confOf#Tutorial	confOf#hasTopic -> confOf#Topic	confOf#has_short_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#location -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#has_title -> confOf#string, confOf#minChoice -> confOf#positiveInteger, confOf#maxChoice -> confOf#positiveInteger	edas#AcademicEvent	edas#AcademicEvent -> edas#ConferenceEvent	edas#Workshop, edas#TalkEvent, edas#OrganizationalMeeting	edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasCall -> edas#Call, edas#forEvent -> edas#Call	 	1.352
iasted#Non_speaker	iasted#Non_speaker -> iasted#Delegate -> iasted#Person	iasted#Student_non_speaker, iasted#Worker_non_speaker	iasted#is_designed_for -> iasted#Nonauthor_registration_fee	 	sigkdd#Speaker	sigkdd#Speaker -> sigkdd#Person	sigkdd#Invited_Speaker, sigkdd#Author	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	 	1.351
iasted#Nonmember_registration_fee	iasted#Nonmember_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	 	iasted#is_designed_for -> iasted#IASTED_non_member	 	sigkdd#Registration_fee	sigkdd#Registration_fee -> sigkdd#Fee	 	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person	sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.35
conference#Committee_member	conference#Committee_member -> conference#Person	 	conference#was_a_member_of -> conference#Committee, conference#has_members -> conference#Committee	 	edas#TPCMember	edas#TPCMember -> edas#Person	 	edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call, edas#isReviewedBy -> edas#Paper, edas#isReviewing -> edas#Paper	 	1.348
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	 	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	ekaw#Submitted_Paper	ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	ekaw#Assigned_Paper	 	 	1.348
ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	iasted#Conference_days	iasted#Conference_days -> iasted#Time	 	iasted#is_held_in -> iasted#Conference_activity, iasted#is_held_after -> iasted#Activity_after_conference, iasted#is_held_before -> iasted#Activity_before_conference, iasted#is_designed_for -> iasted#Delegate	 	1.347
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	 	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	ekaw#Assigned_Paper	ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	ekaw#Evaluated_Paper	 	 	1.347
ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	ekaw#Industrial_Session	ekaw#partOfEvent -> ekaw#Conference	 	iasted#Session	iasted#Session -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	iasted#Speaker_lecture	iasted#is_held_in -> iasted#Session_room	 	1.346
cmt#Conference	 	 	cmt#paperAssignmentToolsRunBy -> cmt#Administrator, cmt#enterReviewCriteria -> cmt#Administrator, cmt#runPaperAssignmentTools -> cmt#Administrator	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	conference#Conference_proceedings	 	 	conference#issues -> conference#Publisher, conference#has_a_publisher -> conference#Publisher	conference#has_a_volume -> conference#int, conference#has_an_ISBN -> conference#string, conference#has_a_name -> conference#string	1.345
conference#Active_conference_participant	conference#Active_conference_participant -> conference#Conference_contributor -> conference#Person, conference#Active_conference_participant -> conference#Conference_participant -> conference#Person	 	conference#gives_presentations -> conference#Presentation, conference#is_given_by -> conference#Presentation	 	ekaw#Conference_Participant	ekaw#Conference_Participant -> ekaw#Person	 	ekaw#writtenBy -> ekaw#Camera_Ready_Paper	 	1.343
conference#Committee_member	conference#Committee_member -> conference#Person	 	conference#was_a_member_of -> conference#Committee, conference#has_members -> conference#Committee	 	confOf#Member_PC	confOf#Member_PC -> confOf#Person	 	confOf#reviewes -> confOf#Contribution, confOf#expertOn -> confOf#Topic	 	1.34
ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference	 	iasted#Conference_building	iasted#Conference_building -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_city, iasted#is_situated_in -> iasted#Conference_hall, iasted#is_occupied_by -> iasted#Delegate, iasted#is_situated_in -> iasted#Session_room	 	1.34
cmt#ProgramCommitteeChair	cmt#ProgramCommitteeChair -> cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeChair -> cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	 	cmt#endReview -> cmt#Review	 	confOf#Member_PC	confOf#Member_PC -> confOf#Person	 	confOf#reviewes -> confOf#Contribution, confOf#expertOn -> confOf#Topic	 	1.34
cmt#Paper	cmt#Paper -> cmt#Document	 	cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#readPaper -> cmt#Reviewer, cmt#assignedTo -> cmt#Reviewer, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	ekaw#Accepted_Paper	ekaw#Accepted_Paper -> ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	ekaw#hasReview -> ekaw#Positive_Review	 	1.339
edas#Paper	edas#Paper -> edas#Document	 	edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#Reviewer, edas#isWrittenBy -> edas#Author, edas#hasRelatedPaper -> edas#Author, edas#isTopicOf -> edas#Topic, edas#hasTopic -> edas#Topic	 	ekaw#Accepted_Paper	ekaw#Accepted_Paper -> ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	ekaw#hasReview -> ekaw#Positive_Review	 	1.339
conference#Steering_committee	conference#Steering_committee -> conference#Committee	 	 	 	sigkdd#Organizing_Committee	sigkdd#Organizing_Committee -> sigkdd#Committee	 	 	 	1.339
cmt#Conference	 	 	cmt#paperAssignmentToolsRunBy -> cmt#Administrator, cmt#enterReviewCriteria -> cmt#Administrator, cmt#runPaperAssignmentTools -> cmt#Administrator	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	edas#ConferenceEvent	 	 	edas#hasProgramme -> edas#Programme, edas#belongsToEvent -> edas#Programme	edas#hasStartDateTime -> edas#dateTime, edas#hasEndDateTime -> edas#dateTime	1.337
confOf#Author	confOf#Author -> confOf#Person	 	confOf#writes -> confOf#Contribution, confOf#writtenBy -> confOf#Contribution	 	sigkdd#Author_of_paper	sigkdd#Author_of_paper -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#award -> sigkdd#Best_Research_Paper_Award, sigkdd#award -> sigkdd#Best_Applications_Paper_Award	 	1.337
conference#Conference_part	 	conference#Track, conference#Tutorial, conference#Workshop	conference#is_a_topis_of_conference_parts -> conference#Topic, conference#has_a_track-workshop-tutorial_topic -> conference#Topic	conference#has_a_name -> conference#string	confOf#Contribution	 	confOf#Paper, confOf#Poster, confOf#Short_paper	confOf#dealsWith -> confOf#Topic, confOf#writes -> confOf#Author, confOf#writtenBy -> confOf#Author	confOf#abstract -> confOf#string, confOf#hasTitle -> confOf#string, confOf#remark -> confOf#string, confOf#hasKeyword -> confOf#string, confOf#contactEmail -> confOf#string	1.334
cmt#Review	cmt#Review -> cmt#Document	cmt#Meta-Review	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer	 	ekaw#Paper	ekaw#Paper -> ekaw#Document	ekaw#Demo_Paper, ekaw#Conference_Paper, ekaw#Submitted_Paper, ekaw#Poster_Paper, ekaw#Workshop_Paper, ekaw#Industrial_Paper	ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#hasReviewer -> ekaw#Possible_Reviewer, ekaw#reviewerOfPaper -> ekaw#Possible_Reviewer	 	1.334
edas#Paper	edas#Paper -> edas#Document	edas#PublishedPaper, edas#WithdrawnPaper, edas#RejectedPaper	edas#isReviewing -> edas#ConferenceChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#SessionChair, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#Reviewer	 	iasted#Submission	iasted#Submission -> iasted#Document -> iasted#Item	iasted#Initial_manuscipt, iasted#Final_manuscript	iasted#is_writen_by -> iasted#Speaker	 	1.333
edas#Programme	edas#Programme -> edas#Document	 	edas#hasProgramme -> edas#ConferenceEvent, edas#belongsToEvent -> edas#ConferenceEvent	 	ekaw#Programme_Brochure	ekaw#Programme_Brochure -> ekaw#Document	 	ekaw#listsEvent -> ekaw#Event, ekaw#eventOnList -> ekaw#Event, ekaw#publisherOf -> ekaw#Organisation	 	1.333
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	cmt#hasSubjectArea -> cmt#SubjectArea, cmt#hasBid -> cmt#Bid, cmt#acceptedBy -> cmt#Administrator, cmt#rejectPaper -> cmt#Administrator	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	confOf#Working_event	confOf#Working_event -> confOf#Event	confOf#Tutorial, confOf#Conference, confOf#Workshop	confOf#hasTopic -> confOf#Topic, confOf#hasAdministrativeEvent -> confOf#Administrative_event	confOf#has_short_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#location -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#has_title -> confOf#string, confOf#minChoice -> confOf#positiveInteger, confOf#maxChoice -> confOf#positiveInteger	1.331
conference#Reviewer	conference#Reviewer -> conference#Person	 	conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise, conference#belongs_to_reviewers -> conference#Review_preference, conference#has_a_review_reference_or_expertise -> conference#Review_preference	 	ekaw#Review	ekaw#Review -> ekaw#Document	 	ekaw#reviewWrittenBy -> ekaw#Possible_Reviewer	 	1.33
edas#ActivePaper	edas#ActivePaper -> edas#Paper -> edas#Document	 	edas#hasRating -> edas#ReviewRating	 	ekaw#Accepted_Paper	ekaw#Accepted_Paper -> ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	ekaw#hasReview -> ekaw#Positive_Review, ekaw#updatedVersionOf -> ekaw#Camera_Ready_Paper	 	1.33
